lot_no,expired_date,inventory_item_name,inventory_item_code,unit_name,opening_quantity,inward_quantity,outward_quantity,closing_quantity,opening_amount,inward_amount,outward_amount,closing_amount,stock_name,shop_name,inventory_item_id,inventory_summary_report_id,inventory_item_category_name,brand_name,vendor_name_list,session_id,detail_id,is_parent,parent_id,grade,is_bold,inventory_item_code_parent,inventory_item_name_parent
,,Kho MIRA,01__BLO__HGD__ROS__250,Lon,24.0,0.0,0.0,24.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,03e92136-95f9-450c-8cef-5f9f1507c702,3fb4e496-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HOEGAARDEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,13,0,03e92136-95f9-450c-8cef-5f9f1507c702,2,False,01__BLO__HGD__ROS__250,HOEGAARDEN Rose Bia Lon 250ml
,,HOEGAARDEN White Bia Lon 250ml,01__BLO__HGD__TRG__250,Lon,22.0,0.0,7.0,15.0,,,,,Tổng,,f2a0a540-7766-46e5-91be-d64f9c2c0fe4,3fb4e5e3-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HOEGAARDEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,14,1,,1,True,01__BLO__HGD__TRG__250,HOEGAARDEN White Bia Lon 250ml
,,Kho Kệ,01__BLO__HGD__TRG__250,Lon,-2.0,0.0,7.0,-9.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,f2a0a540-7766-46e5-91be-d64f9c2c0fe4,3fb4e6e8-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HOEGAARDEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,15,0,f2a0a540-7766-46e5-91be-d64f9c2c0fe4,2,False,01__BLO__HGD__TRG__250,HOEGAARDEN White Bia Lon 250ml
,,Kho MIRA,01__BLO__HGD__TRG__250,Lon,24.0,0.0,0.0,24.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,f2a0a540-7766-46e5-91be-d64f9c2c0fe4,3fb4e7d5-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HOEGAARDEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,16,0,f2a0a540-7766-46e5-91be-d64f9c2c0fe4,2,False,01__BLO__HGD__TRG__250,HOEGAARDEN White Bia Lon 250ml
,,HEINEKEN Bạc Bia Lon 250ml,01__BLO__KEN__BAC__250,Lon,48.0,240.0,184.0,104.0,,,,,Tổng,,f5428d74-046d-4429-93f0-abd0b3d6674e,3fb4e8c6-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HEINEKEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,17,1,,1,True,01__BLO__KEN__BAC__250,HEINEKEN Bạc Bia Lon 250ml
,,Kho Kệ,01__BLO__KEN__BAC__250,Lon,-168.0,120.0,184.0,-232.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,f5428d74-046d-4429-93f0-abd0b3d6674e,3fb4e9b9-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HEINEKEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,18,0,f5428d74-046d-4429-93f0-abd0b3d6674e,2,False,01__BLO__KEN__BAC__250,HEINEKEN Bạc Bia Lon 250ml
,,Kho MIRA,01__BLO__KEN__BAC__250,Lon,216.0,120.0,0.0,336.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,f5428d74-046d-4429-93f0-abd0b3d6674e,3fb4ea8d-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HEINEKEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,19,0,f5428d74-046d-4429-93f0-abd0b3d6674e,2,False,01__BLO__KEN__BAC__250,HEINEKEN Bạc Bia Lon 250ml
,,HEINEKEN Bạc Bia Lon 330ml,01__BLO__KEN__BAC__330,Lon,-36.0,240.0,189.0,15.0,,,,,Tổng,,11374cb3-13e5-4cf6-bbf8-367eb2a8ca5b,3fb4eb75-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HEINEKEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,20,1,,1,True,01__BLO__KEN__BAC__330,HEINEKEN Bạc Bia Lon 330ml
,,Kho Kệ,01__BLO__KEN__BAC__330,Lon,-36.0,120.0,189.0,-105.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,11374cb3-13e5-4cf6-bbf8-367eb2a8ca5b,3fb4ec5a-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HEINEKEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,21,0,11374cb3-13e5-4cf6-bbf8-367eb2a8ca5b,2,False,01__BLO__KEN__BAC__330,HEINEKEN Bạc Bia Lon 330ml
,,Kho MIRA,01__BLO__KEN__BAC__330,Lon,0.0,120.0,0.0,120.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,11374cb3-13e5-4cf6-bbf8-367eb2a8ca5b,3fb4ed3a-8bc7-11f1-9b18-005056b2a5de,Bia Lon,HEINEKEN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,22,0,11374cb3-13e5-4cf6-bbf8-367eb2a8ca5b,2,False,01__BLO__KEN__BAC__330,HEINEKEN Bạc Bia Lon 330ml
