lot_no,expired_date,inventory_item_name,inventory_item_code,unit_name,opening_quantity,inward_quantity,outward_quantity,closing_quantity,opening_amount,inward_amount,outward_amount,closing_amount,stock_name,shop_name,inventory_item_id,inventory_summary_report_id,inventory_item_category_name,brand_name,vendor_name_list,session_id,detail_id,is_parent,parent_id,grade,is_bold,inventory_item_code_parent,inventory_item_name_parent
,,Kho Kệ,01__TDC__KIR__TXH__345,Chai,-13.0,0.0,12.0,-25.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,9696a38d-ee72-42c2-973a-0a4e51a07603,3fb600d0-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,KIRIN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,274,0,9696a38d-ee72-42c2-973a-0a4e51a07603,2,False,01__TDC__KIR__TXH__345,KIRIN Trà Xanh Nhật 345ml
,,Kho MIRA,01__TDC__KIR__TXH__345,Chai,-6.0,0.0,0.0,-6.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,9696a38d-ee72-42c2-973a-0a4e51a07603,3fb60252-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,KIRIN,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,275,0,9696a38d-ee72-42c2-973a-0a4e51a07603,2,False,01__TDC__KIR__TXH__345,KIRIN Trà Xanh Nhật 345ml
,,MASAN Trà Bupnon 365 Hương Mãng Cầu 500ml,01__TDC__MAS__CAU__500,Chai,2.0,0.0,0.0,2.0,,,,,Tổng,,cffdbf74-ad7d-4102-9789-8da092604a5f,3fb60321-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,276,1,,1,True,01__TDC__MAS__CAU__500,MASAN Trà Bupnon 365 Hương Mãng Cầu 500ml
,,Kho Kệ,01__TDC__MAS__CAU__500,Chai,2.0,0.0,0.0,2.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,cffdbf74-ad7d-4102-9789-8da092604a5f,3fb603e1-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,277,0,cffdbf74-ad7d-4102-9789-8da092604a5f,2,False,01__TDC__MAS__CAU__500,MASAN Trà Bupnon 365 Hương Mãng Cầu 500ml
,,MASAN Trà Bupnon 365 Hương Chanh Sả 500ml,01__TDC__MAS__CSA__500,Chai,-4.0,0.0,0.0,-4.0,,,,,Tổng,,b6d1b1c6-a38c-4eb4-a924-013bacdb8fb2,3fb604b0-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,278,1,,1,True,01__TDC__MAS__CSA__500,MASAN Trà Bupnon 365 Hương Chanh Sả 500ml
,,Kho Kệ,01__TDC__MAS__CSA__500,Chai,-10.0,0.0,0.0,-10.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,b6d1b1c6-a38c-4eb4-a924-013bacdb8fb2,3fb6056f-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,279,0,b6d1b1c6-a38c-4eb4-a924-013bacdb8fb2,2,False,01__TDC__MAS__CSA__500,MASAN Trà Bupnon 365 Hương Chanh Sả 500ml
,,Kho MIRA,01__TDC__MAS__CSA__500,Chai,6.0,0.0,0.0,6.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,b6d1b1c6-a38c-4eb4-a924-013bacdb8fb2,3fb60628-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,280,0,b6d1b1c6-a38c-4eb4-a924-013bacdb8fb2,2,False,01__TDC__MAS__CSA__500,MASAN Trà Bupnon 365 Hương Chanh Sả 500ml
,,MASAN Trà Bupnon 365 Hương Đào 500ml,01__TDC__MAS__DAO__500,Chai,-21.0,72.0,72.0,-21.0,,,,,Tổng,,488d537f-e39c-42ee-8dd7-c4d023849171,3fb60703-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,281,1,,1,True,01__TDC__MAS__DAO__500,MASAN Trà Bupnon 365 Hương Đào 500ml
,,Kho Kệ,01__TDC__MAS__DAO__500,Chai,-29.0,72.0,72.0,-29.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,488d537f-e39c-42ee-8dd7-c4d023849171,3fb607c7-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,282,0,488d537f-e39c-42ee-8dd7-c4d023849171,2,False,01__TDC__MAS__DAO__500,MASAN Trà Bupnon 365 Hương Đào 500ml
,,Kho MIRA,01__TDC__MAS__DAO__500,Chai,8.0,0.0,0.0,8.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,488d537f-e39c-42ee-8dd7-c4d023849171,3fb60895-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,283,0,488d537f-e39c-42ee-8dd7-c4d023849171,2,False,01__TDC__MAS__DAO__500,MASAN Trà Bupnon 365 Hương Đào 500ml
,,MASAN Trà Bupnon 365 Hương Mật Ong 500ml,01__TDC__MAS__MOG__500,Chai,-26.0,48.0,55.0,-33.0,,,,,Tổng,,bf17035d-f665-4179-9c4e-13065b8fbf26,3fb6096c-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,284,1,,1,True,01__TDC__MAS__MOG__500,MASAN Trà Bupnon 365 Hương Mật Ong 500ml
,,Kho Kệ,01__TDC__MAS__MOG__500,Chai,-26.0,48.0,55.0,-33.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,bf17035d-f665-4179-9c4e-13065b8fbf26,3fb60a35-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,285,0,bf17035d-f665-4179-9c4e-13065b8fbf26,2,False,01__TDC__MAS__MOG__500,MASAN Trà Bupnon 365 Hương Mật Ong 500ml
,,MASAN Trà Bupnon 365 Trà Ô Long Vị Đào 500ml,01__TDC__MAS__OLD__500,Chai,-12.0,48.0,73.0,-37.0,,,,,Tổng,,121f2b65-eb5c-48f2-b5e4-85b22a600d60,3fb60af5-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,286,1,,1,True,01__TDC__MAS__OLD__500,MASAN Trà Bupnon 365 Trà Ô Long Vị Đào 500ml
,,Kho Kệ,01__TDC__MAS__OLD__500,Chai,-17.0,48.0,73.0,-42.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,121f2b65-eb5c-48f2-b5e4-85b22a600d60,3fb60bb3-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,287,0,121f2b65-eb5c-48f2-b5e4-85b22a600d60,2,False,01__TDC__MAS__OLD__500,MASAN Trà Bupnon 365 Trà Ô Long Vị Đào 500ml
,,Kho MIRA,01__TDC__MAS__OLD__500,Chai,5.0,0.0,0.0,5.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,121f2b65-eb5c-48f2-b5e4-85b22a600d60,3fb60c7a-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,MASAN Bupnon,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,288,0,121f2b65-eb5c-48f2-b5e4-85b22a600d60,2,False,01__TDC__MAS__OLD__500,MASAN Trà Bupnon 365 Trà Ô Long Vị Đào 500ml
,,PEPSICO Olong TEA+ Chanh Chai 450ml,01__TDC__TEA__CHH__450,Chai,-11.0,48.0,7.0,30.0,,,,,Tổng,,9c0bc1a0-f764-4955-9373-96356d100bf6,3fb60de8-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TEA+,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,289,1,,1,True,01__TDC__TEA__CHH__450,PEPSICO Olong TEA+ Chanh Chai 450ml
,,Kho Kệ,01__TDC__TEA__CHH__450,Chai,-5.0,48.0,7.0,36.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,9c0bc1a0-f764-4955-9373-96356d100bf6,3fb60eb7-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TEA+,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,290,0,9c0bc1a0-f764-4955-9373-96356d100bf6,2,False,01__TDC__TEA__CHH__450,PEPSICO Olong TEA+ Chanh Chai 450ml
,,Kho MIRA,01__TDC__TEA__CHH__450,Chai,-6.0,0.0,0.0,-6.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,9c0bc1a0-f764-4955-9373-96356d100bf6,3fb60f7d-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TEA+,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,291,0,9c0bc1a0-f764-4955-9373-96356d100bf6,2,False,01__TDC__TEA__CHH__450,PEPSICO Olong TEA+ Chanh Chai 450ml
,,PEPSICO Olong TEA+ Trà Xanh Chai 450ml,01__TDC__TEA__XAH__450,Chai,-23.0,96.0,70.0,3.0,,,,,Tổng,,841d02cb-5bfd-4fe6-8f6d-e63760b6e38b,3fb6103b-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TEA+,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,292,1,,1,True,01__TDC__TEA__XAH__450,PEPSICO Olong TEA+ Trà Xanh Chai 450ml
,,Kho Kệ,01__TDC__TEA__XAH__450,Chai,-29.0,96.0,70.0,-3.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,841d02cb-5bfd-4fe6-8f6d-e63760b6e38b,3fb610f7-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TEA+,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,293,0,841d02cb-5bfd-4fe6-8f6d-e63760b6e38b,2,False,01__TDC__TEA__XAH__450,PEPSICO Olong TEA+ Trà Xanh Chai 450ml
,,Kho MIRA,01__TDC__TEA__XAH__450,Chai,6.0,0.0,0.0,6.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,841d02cb-5bfd-4fe6-8f6d-e63760b6e38b,3fb611b1-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TEA+,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,294,0,841d02cb-5bfd-4fe6-8f6d-e63760b6e38b,2,False,01__TDC__TEA__XAH__450,PEPSICO Olong TEA+ Trà Xanh Chai 450ml
,,TH True Tea Trà Xanh Vị Chanh Tự Nhiên 350ml,01__TDC__THT__CTN__350,Chai,72.0,72.0,25.0,119.0,,,,,Tổng,,8338409e-987f-4334-9380-0f237ce113a1,3fb61363-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,295,1,,1,True,01__TDC__THT__CTN__350,TH True Tea Trà Xanh Vị Chanh Tự Nhiên 350ml
,,Kho Kệ,01__TDC__THT__CTN__350,Chai,9.0,72.0,25.0,56.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,8338409e-987f-4334-9380-0f237ce113a1,3fb6142c-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,296,0,8338409e-987f-4334-9380-0f237ce113a1,2,False,01__TDC__THT__CTN__350,TH True Tea Trà Xanh Vị Chanh Tự Nhiên 350ml
,,Kho MIRA,01__TDC__THT__CTN__350,Chai,63.0,0.0,0.0,63.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,8338409e-987f-4334-9380-0f237ce113a1,3fb614f3-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,297,0,8338409e-987f-4334-9380-0f237ce113a1,2,False,01__TDC__THT__CTN__350,TH True Tea Trà Xanh Vị Chanh Tự Nhiên 350ml
,,TH True Tea Trà Đào 350ml,01__TDC__THT__DAO__350,Chai,36.0,0.0,28.0,8.0,,,,,Tổng,,45de13be-447f-4a8f-87da-0dc7c4ee9068,3fb6165a-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,298,1,,1,True,01__TDC__THT__DAO__350,TH True Tea Trà Đào 350ml
,,Kho Kệ,01__TDC__THT__DAO__350,Chai,12.0,0.0,28.0,-16.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,45de13be-447f-4a8f-87da-0dc7c4ee9068,3fb617b0-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,299,0,45de13be-447f-4a8f-87da-0dc7c4ee9068,2,False,01__TDC__THT__DAO__350,TH True Tea Trà Đào 350ml
,,Kho MIRA,01__TDC__THT__DAO__350,Chai,24.0,0.0,0.0,24.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,45de13be-447f-4a8f-87da-0dc7c4ee9068,3fb619b4-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,300,0,45de13be-447f-4a8f-87da-0dc7c4ee9068,2,False,01__TDC__THT__DAO__350,TH True Tea Trà Đào 350ml
,,TH True Tea Ô Long Tự Nhiên 350ml,01__TDC__THT__OLO__350,Chai,-28.0,24.0,36.0,-40.0,,,,,Tổng,,d03a89f4-f8ec-4da5-b3d3-565a147219bd,3fb61aa3-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,301,1,,1,True,01__TDC__THT__OLO__350,TH True Tea Ô Long Tự Nhiên 350ml
,,Kho Kệ,01__TDC__THT__OLO__350,Chai,-7.0,24.0,36.0,-19.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,d03a89f4-f8ec-4da5-b3d3-565a147219bd,3fb61b76-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,302,0,d03a89f4-f8ec-4da5-b3d3-565a147219bd,2,False,01__TDC__THT__OLO__350,TH True Tea Ô Long Tự Nhiên 350ml
,,Kho MIRA,01__TDC__THT__OLO__350,Chai,-21.0,0.0,0.0,-21.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,d03a89f4-f8ec-4da5-b3d3-565a147219bd,3fb61c32-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,303,0,d03a89f4-f8ec-4da5-b3d3-565a147219bd,2,False,01__TDC__THT__OLO__350,TH True Tea Ô Long Tự Nhiên 350ml
,,TH True Tea Trà Tắc 350ml,01__TDC__THT__TAC__350,Chai,36.0,3.0,14.0,25.0,,,,,Tổng,,b486018c-0622-4797-a1d6-20741b7f71e7,3fb61d07-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,304,1,,1,True,01__TDC__THT__TAC__350,TH True Tea Trà Tắc 350ml
,,Kho Kệ,01__TDC__THT__TAC__350,Chai,27.0,3.0,14.0,16.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,b486018c-0622-4797-a1d6-20741b7f71e7,3fb61dd3-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,305,0,b486018c-0622-4797-a1d6-20741b7f71e7,2,False,01__TDC__THT__TAC__350,TH True Tea Trà Tắc 350ml
,,Kho MIRA,01__TDC__THT__TAC__350,Chai,9.0,0.0,0.0,9.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,b486018c-0622-4797-a1d6-20741b7f71e7,3fb61e9a-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,306,0,b486018c-0622-4797-a1d6-20741b7f71e7,2,False,01__TDC__THT__TAC__350,TH True Tea Trà Tắc 350ml
,,TH True Tea Trà Ổi 350ml,01__TDC__THT__TOI__350,Chai,-4.0,0.0,9.0,-13.0,,,,,Tổng,,ca981f57-1dc8-4c9c-84c1-fa0e9dcd3a0c,3fb61f80-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,307,1,,1,True,01__TDC__THT__TOI__350,TH True Tea Trà Ổi 350ml
,,Kho Kệ,01__TDC__THT__TOI__350,Chai,-4.0,0.0,9.0,-13.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,ca981f57-1dc8-4c9c-84c1-fa0e9dcd3a0c,3fb6203c-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,308,0,ca981f57-1dc8-4c9c-84c1-fa0e9dcd3a0c,2,False,01__TDC__THT__TOI__350,TH True Tea Trà Ổi 350ml
,,TH True Tea Trà Vải 350ml,01__TDC__THT__VAI__350,Chai,14.0,24.0,26.0,12.0,,,,,Tổng,,ce265a50-6cc3-4f0e-a992-126cee727c7f,3fb62105-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,309,1,,1,True,01__TDC__THT__VAI__350,TH True Tea Trà Vải 350ml
,,Kho Kệ,01__TDC__THT__VAI__350,Chai,-10.0,24.0,26.0,-12.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,ce265a50-6cc3-4f0e-a992-126cee727c7f,3fb621d6-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,310,0,ce265a50-6cc3-4f0e-a992-126cee727c7f,2,False,01__TDC__THT__VAI__350,TH True Tea Trà Vải 350ml
,,Kho MIRA,01__TDC__THT__VAI__350,Chai,24.0,0.0,0.0,24.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,ce265a50-6cc3-4f0e-a992-126cee727c7f,3fb62292-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,TH True Tea,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,311,0,ce265a50-6cc3-4f0e-a992-126cee727c7f,2,False,01__TDC__THT__VAI__350,TH True Tea Trà Vải 350ml
,,WONDERFARM Trà Bí Đao Chai 280ml,01__TDC__WON__BDO__280,Chai,12.0,48.0,58.0,2.0,,,,,Tổng,,43f2d7b4-6dc5-4b0b-85db-55e7af872d01,3fb62354-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,WONDERFARM,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,312,1,,1,True,01__TDC__WON__BDO__280,WONDERFARM Trà Bí Đao Chai 280ml
,,Kho Kệ,01__TDC__WON__BDO__280,Chai,-12.0,48.0,58.0,-22.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,43f2d7b4-6dc5-4b0b-85db-55e7af872d01,3fb624a6-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,WONDERFARM,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,313,0,43f2d7b4-6dc5-4b0b-85db-55e7af872d01,2,False,01__TDC__WON__BDO__280,WONDERFARM Trà Bí Đao Chai 280ml
,,Kho MIRA,01__TDC__WON__BDO__280,Chai,24.0,0.0,0.0,24.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,43f2d7b4-6dc5-4b0b-85db-55e7af872d01,3fb62563-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Chai,WONDERFARM,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,314,0,43f2d7b4-6dc5-4b0b-85db-55e7af872d01,2,False,01__TDC__WON__BDO__280,WONDERFARM Trà Bí Đao Chai 280ml
,,WONDERFARM Trà Bí Đao Lon 310ml,01__TDL__WON__BDO__310,Lon,-66.0,48.0,20.0,-38.0,,,,,Tổng,,3d08ad2f-ef7a-45e4-bb7f-61541accc609,3fb62620-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Lon,WONDERFARM,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,315,1,,1,True,01__TDL__WON__BDO__310,WONDERFARM Trà Bí Đao Lon 310ml
,,Kho Kệ,01__TDL__WON__BDO__310,Lon,-36.0,48.0,20.0,-8.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,3d08ad2f-ef7a-45e4-bb7f-61541accc609,3fb62786-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Lon,WONDERFARM,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,316,0,3d08ad2f-ef7a-45e4-bb7f-61541accc609,2,False,01__TDL__WON__BDO__310,WONDERFARM Trà Bí Đao Lon 310ml
,,Kho MIRA,01__TDL__WON__BDO__310,Lon,-30.0,0.0,0.0,-30.0,,,,,Kho MIRA,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,3d08ad2f-ef7a-45e4-bb7f-61541accc609,3fb6284a-8bc7-11f1-9b18-005056b2a5de,Trà Đóng Lon,WONDERFARM,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,317,0,3d08ad2f-ef7a-45e4-bb7f-61541accc609,2,False,01__TDL__WON__BDO__310,WONDERFARM Trà Bí Đao Lon 310ml
,,YẾN ĐẠI PHÁT Cháo Tổ Yến Trẻ Em Cá Hồi Bí Đỏ 50g,02__CGI__YDP__BDO__50,Gói,9.0,0.0,7.0,2.0,,,,,Tổng,,7be49b9d-0c1d-471e-9d04-5d461868be0e,3fb6291c-8bc7-11f1-9b18-005056b2a5de,Cháo Gói,YẾN ĐẠI PHÁT,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,318,1,,1,True,02__CGI__YDP__BDO__50,YẾN ĐẠI PHÁT Cháo Tổ Yến Trẻ Em Cá Hồi Bí Đỏ 50g
,,Kho Kệ,02__CGI__YDP__BDO__50,Gói,9.0,0.0,7.0,2.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,7be49b9d-0c1d-471e-9d04-5d461868be0e,3fb62a74-8bc7-11f1-9b18-005056b2a5de,Cháo Gói,YẾN ĐẠI PHÁT,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,319,0,7be49b9d-0c1d-471e-9d04-5d461868be0e,2,False,02__CGI__YDP__BDO__50,YẾN ĐẠI PHÁT Cháo Tổ Yến Trẻ Em Cá Hồi Bí Đỏ 50g
,,YẾN ĐẠI PHÁT Cháo Sườn Non Yến Mạch Đậu Xanh Gói 50g,02__CGI__YDP__DXH__50,Gói,0.0,0.0,1.0,-1.0,,,,,Tổng,,c3f186bb-1995-45a4-9679-734301b8295c,3fb62b3e-8bc7-11f1-9b18-005056b2a5de,Cháo Gói,YẾN ĐẠI PHÁT,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,320,1,,1,True,02__CGI__YDP__DXH__50,YẾN ĐẠI PHÁT Cháo Sườn Non Yến Mạch Đậu Xanh Gói 50g
,,Kho Kệ,02__CGI__YDP__DXH__50,Gói,0.0,0.0,1.0,-1.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,c3f186bb-1995-45a4-9679-734301b8295c,3fb62c03-8bc7-11f1-9b18-005056b2a5de,Cháo Gói,YẾN ĐẠI PHÁT,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,321,0,c3f186bb-1995-45a4-9679-734301b8295c,2,False,02__CGI__YDP__DXH__50,YẾN ĐẠI PHÁT Cháo Sườn Non Yến Mạch Đậu Xanh Gói 50g
,,YẾN ĐẠI PHÁT Cháo Tổ Yến Thịt Bằm 50g,02__CGI__YDP__YEN__50,Gói,0.0,0.0,4.0,-4.0,,,,,Tổng,,ad833c66-348c-4df1-b97c-f17a1154e70c,3fb62ce2-8bc7-11f1-9b18-005056b2a5de,Cháo Gói,YẾN ĐẠI PHÁT,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,322,1,,1,True,02__CGI__YDP__YEN__50,YẾN ĐẠI PHÁT Cháo Tổ Yến Thịt Bằm 50g
,,Kho Kệ,02__CGI__YDP__YEN__50,Gói,0.0,0.0,4.0,-4.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,ad833c66-348c-4df1-b97c-f17a1154e70c,3fb62dac-8bc7-11f1-9b18-005056b2a5de,Cháo Gói,YẾN ĐẠI PHÁT,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,323,0,ad833c66-348c-4df1-b97c-f17a1154e70c,2,False,02__CGI__YDP__YEN__50,YẾN ĐẠI PHÁT Cháo Tổ Yến Thịt Bằm 50g
,,CẦU TRE Bò Viên Ngon Bịch 500g,02__DBV__CTR__BCH__500,Bịch,2.0,0.0,0.0,2.0,,,,,Tổng,,a863bd58-8bf4-400e-9a51-45679d08cf4c,3fb62e70-8bc7-11f1-9b18-005056b2a5de,Đồ Đông Lạnh,CẦU TRE,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,324,1,,1,True,02__DBV__CTR__BCH__500,CẦU TRE Bò Viên Ngon Bịch 500g
,,Kho Kệ,02__DBV__CTR__BCH__500,Bịch,2.0,0.0,0.0,2.0,,,,,Kho Kệ,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP,a863bd58-8bf4-400e-9a51-45679d08cf4c,3fb62f4a-8bc7-11f1-9b18-005056b2a5de,Đồ Đông Lạnh,CẦU TRE,,3eaf0580-8bc7-11f1-9b18-005056b2a5de,325,0,a863bd58-8bf4-400e-9a51-45679d08cf4c,2,False,02__DBV__CTR__BCH__500,CẦU TRE Bò Viên Ngon Bịch 500g
