session_id,inventory_item_code,inventory_item_name,unit_name,stock_name,opening_quantity,opening_amount,inward_quantity,inward_amount,outward_quantity,outward_amount,closing_quantity,closing_amount,detail_id,is_parent,inventory_item_id,parent_id,grade,is_bold,inventory_summary_report_id,inventory_item_code_parent,inventory_item_name_parent,inventory_item_category_name,brand_name,vendor_name_list,stock_id,branch_id,branch_name
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__HGD__TRG__250,Kho MIRA,Lon,Kho MIRA,24.0,,0.0,,0.0,,24.0,,16,0,f2a0a540-7766-46e5-91be-d64f9c2c0fe4,f2a0a540-7766-46e5-91be-d64f9c2c0fe4,2,False,e10e112e-8bb4-11f1-9b18-005056b2a5de,01__BLO__HGD__TRG__250,HOEGAARDEN White Bia Lon 250ml,Bia Lon,HOEGAARDEN,,485b5d06-306c-11f0-b467-005056b34af7,a38f9189-ad87-11ef-a35e-005056b28600,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__KEN__BAC__250,HEINEKEN Bạc Bia Lon 250ml,Lon,Tổng,42.0,,240.0,,184.0,,98.0,,17,1,f5428d74-046d-4429-93f0-abd0b3d6674e,,1,True,e10e120c-8bb4-11f1-9b18-005056b2a5de,01__BLO__KEN__BAC__250,HEINEKEN Bạc Bia Lon 250ml,Bia Lon,HEINEKEN,,,a38f9189-ad87-11ef-a35e-005056b28600,
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__KEN__BAC__250,Kho MIRA,Lon,Kho MIRA,216.0,,120.0,,0.0,,336.0,,19,0,f5428d74-046d-4429-93f0-abd0b3d6674e,f5428d74-046d-4429-93f0-abd0b3d6674e,2,False,e10e13c4-8bb4-11f1-9b18-005056b2a5de,01__BLO__KEN__BAC__250,HEINEKEN Bạc Bia Lon 250ml,Bia Lon,HEINEKEN,,485b5d06-306c-11f0-b467-005056b34af7,a38f9189-ad87-11ef-a35e-005056b28600,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__KEN__BAC__330,HEINEKEN Bạc Bia Lon 330ml,Lon,Tổng,86.0,,240.0,,217.0,,109.0,,20,1,11374cb3-13e5-4cf6-bbf8-367eb2a8ca5b,,1,True,e10e149f-8bb4-11f1-9b18-005056b2a5de,01__BLO__KEN__BAC__330,HEINEKEN Bạc Bia Lon 330ml,Bia Lon,HEINEKEN,,,a38f9189-ad87-11ef-a35e-005056b28600,
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__KEN__BAC__330,Kho MIRA,Lon,Kho MIRA,96.0,,120.0,,0.0,,216.0,,22,0,11374cb3-13e5-4cf6-bbf8-367eb2a8ca5b,11374cb3-13e5-4cf6-bbf8-367eb2a8ca5b,2,False,e10e1696-8bb4-11f1-9b18-005056b2a5de,01__BLO__KEN__BAC__330,HEINEKEN Bạc Bia Lon 330ml,Bia Lon,HEINEKEN,,485b5d06-306c-11f0-b467-005056b34af7,a38f9189-ad87-11ef-a35e-005056b28600,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__SAP__LON__330,SAPPORO Bia Lon 330ml,Lon,Tổng,58.0,,0.0,,31.0,,27.0,,23,1,32da260b-e5dd-4314-86ae-1e0fc63ffb48,,1,True,e10e1767-8bb4-11f1-9b18-005056b2a5de,01__BLO__SAP__LON__330,SAPPORO Bia Lon 330ml,Bia Lon,SAPPORO,,,a38f9189-ad87-11ef-a35e-005056b28600,
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__SAP__LON__330,Kho MIRA,Lon,Kho MIRA,48.0,,0.0,,0.0,,48.0,,25,0,32da260b-e5dd-4314-86ae-1e0fc63ffb48,32da260b-e5dd-4314-86ae-1e0fc63ffb48,2,False,e10e1909-8bb4-11f1-9b18-005056b2a5de,01__BLO__SAP__LON__330,SAPPORO Bia Lon 330ml,Bia Lon,SAPPORO,,485b5d06-306c-11f0-b467-005056b34af7,a38f9189-ad87-11ef-a35e-005056b28600,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__SAP__PRE__330,SAPPORO Premium 100 Bia Lon 330ml,Lon,Tổng,24.0,,0.0,,0.0,,24.0,,26,1,1c6a4f7f-23a9-4ba7-a2e7-46d84a3cddbb,,1,True,e10e19de-8bb4-11f1-9b18-005056b2a5de,01__BLO__SAP__PRE__330,SAPPORO Premium 100 Bia Lon 330ml,Bia Lon,SAPPORO,,,a38f9189-ad87-11ef-a35e-005056b28600,
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__SAP__PRE__330,Kho Kệ,Lon,Kho Kệ,24.0,,0.0,,0.0,,24.0,,27,0,1c6a4f7f-23a9-4ba7-a2e7-46d84a3cddbb,1c6a4f7f-23a9-4ba7-a2e7-46d84a3cddbb,2,False,e10e1aae-8bb4-11f1-9b18-005056b2a5de,01__BLO__SAP__PRE__330,SAPPORO Premium 100 Bia Lon 330ml,Bia Lon,SAPPORO,,aca0e3b9-1e75-496e-84ff-e96c9084f53f,a38f9189-ad87-11ef-a35e-005056b28600,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__SGN__LON__330,SAIGON Bia Lon 330ml,Lon,Tổng,31.0,,360.0,,260.0,,131.0,,28,1,0fcd9987-409e-468d-8ab2-5d77d086f697,,1,True,e10e1b7b-8bb4-11f1-9b18-005056b2a5de,01__BLO__SGN__LON__330,SAIGON Bia Lon 330ml,Bia Lon,SAIGON,,,a38f9189-ad87-11ef-a35e-005056b28600,
e002c83d-8bb4-11f1-9b18-005056b2a5de,01__BLO__SGN__LON__330,Kho MIRA,Lon,Kho MIRA,220.0,,240.0,,0.0,,460.0,,30,0,0fcd9987-409e-468d-8ab2-5d77d086f697,0fcd9987-409e-468d-8ab2-5d77d086f697,2,False,e10e1d2c-8bb4-11f1-9b18-005056b2a5de,01__BLO__SGN__LON__330,SAIGON Bia Lon 330ml,Bia Lon,SAIGON,,485b5d06-306c-11f0-b467-005056b34af7,a38f9189-ad87-11ef-a35e-005056b28600,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ MIRA GROUP
